angle_deg,distance_mm,quality
2.911250000000000000e+02,1.587500000000000000e+02,4.800000000000000000e+01
2.919531250000000000e+02,1.595000000000000000e+02,4.800000000000000000e+01
2.927812500000000000e+02,1.602500000000000000e+02,4.800000000000000000e+01
2.936093750000000000e+02,1.610000000000000000e+02,4.800000000000000000e+01
2.944531250000000000e+02,1.620000000000000000e+02,4.800000000000000000e+01
2.952812500000000000e+02,1.627500000000000000e+02,4.800000000000000000e+01
2.961093750000000000e+02,1.642500000000000000e+02,4.700000000000000000e+01
2.969375000000000000e+02,1.665000000000000000e+02,4.700000000000000000e+01
2.977656250000000000e+02,1.680000000000000000e+02,4.600000000000000000e+01
2.985937500000000000e+02,1.692500000000000000e+02,4.600000000000000000e+01
2.994218750000000000e+02,1.712500000000000000e+02,4.500000000000000000e+01
3.002500000000000000e+02,1.737500000000000000e+02,4.600000000000000000e+01
3.012031250000000000e+02,1.750000000000000000e+02,4.500000000000000000e+01
3.020625000000000000e+02,1.757500000000000000e+02,4.500000000000000000e+01
3.029218750000000000e+02,1.777500000000000000e+02,4.500000000000000000e+01
3.037812500000000000e+02,1.795000000000000000e+02,4.500000000000000000e+01
3.045312500000000000e+02,1.810000000000000000e+02,4.400000000000000000e+01
3.053593750000000000e+02,1.832500000000000000e+02,4.300000000000000000e+01
3.061875000000000000e+02,1.855000000000000000e+02,4.300000000000000000e+01
3.070156250000000000e+02,1.875000000000000000e+02,4.300000000000000000e+01
3.078750000000000000e+02,1.895000000000000000e+02,4.200000000000000000e+01
3.087187500000000000e+02,1.920000000000000000e+02,4.200000000000000000e+01
3.095468750000000000e+02,1.950000000000000000e+02,4.200000000000000000e+01
3.103906250000000000e+02,1.967500000000000000e+02,4.100000000000000000e+01
3.112187500000000000e+02,1.990000000000000000e+02,4.100000000000000000e+01
3.120625000000000000e+02,2.027500000000000000e+02,4.100000000000000000e+01
3.128906250000000000e+02,2.050000000000000000e+02,4.000000000000000000e+01
3.137343750000000000e+02,2.077500000000000000e+02,4.000000000000000000e+01
3.145468750000000000e+02,2.120000000000000000e+02,3.900000000000000000e+01
3.153750000000000000e+02,2.175000000000000000e+02,4.000000000000000000e+01
3.162031250000000000e+02,2.222500000000000000e+02,3.900000000000000000e+01
3.170312500000000000e+02,2.272500000000000000e+02,4.000000000000000000e+01
3.179843750000000000e+02,2.310000000000000000e+02,4.000000000000000000e+01
