pair_id,rgb1_image,rgb2_image,valid_pair,rgb1_area_ratio,rgb1_center_x_norm,rgb1_center_y_norm,rgb1_sharpness_laplacian_var,rgb1_board_distance_m,rgb1_pitch_deg,rgb1_yaw_deg,rgb1_roll_deg,rgb1_reprojection_error_px,rgb1_grid_cells,rgb1_bbox_min_x,rgb1_bbox_min_y,rgb1_bbox_max_x,rgb1_bbox_max_y,rgb2_area_ratio,rgb2_center_x_norm,rgb2_center_y_norm,rgb2_sharpness_laplacian_var,rgb2_board_distance_m,rgb2_pitch_deg,rgb2_yaw_deg,rgb2_roll_deg,rgb2_reprojection_error_px,rgb2_grid_cells,rgb2_bbox_min_x,rgb2_bbox_min_y,rgb2_bbox_max_x,rgb2_bbox_max_y
010,rgb1_010.png,rgb2_010.png,True,0.08999494764539931,0.2697535455226898,0.49638134241104126,371.78637426794427,0.4916721308607277,16.07013912123875,4.064481763592661,14.487573112619687,0.5055539223781609,"1,0;1,1;2,0;2,1;2,2;3,0;3,1;3,2",196.98789978027344,233.86553955078125,515.399658203125,494.34381103515625,0.0717490980360243,0.20254404842853546,0.4683825969696045,338.31588397174295,0.5301479541824639,15.457546222778587,3.721783565775481,12.794285644270813,1.1122749328465926,"1,0;1,1;2,0;2,1;3,0;3,1",141.26234436035156,216.18167114257812,402.6056823730469,469.1973876953125
011,rgb1_011.png,rgb2_011.png,True,0.17687659369574651,0.4693066477775574,0.49517953395843506,400.5089078678449,0.3591714930259236,14.962381220732237,1.3978546585290819,8.079925768061303,0.3233267317497474,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",364.052001953125,192.5625457763672,855.1131591796875,524.5160522460938,0.1638733588324653,0.35550862550735474,0.4623090922832489,367.13274123851164,0.38479782406836033,13.197359937539428,1.1516352278858173,6.994873784670421,0.46833385639472025,"1,0;1,1;1,2;2,0;2,1;2,2;3,1;3,2",252.5481414794922,160.4444122314453,692.1690673828125,503.9805908203125
012,rgb1_012.png,rgb2_012.png,True,0.18360370212131077,0.6184611916542053,0.5202550292015076,395.2116076919367,0.3303707756804153,16.334501132541305,-0.5332655423356951,4.592040894362963,0.34243668080526296,"1,2;1,3;1,4;2,2;2,3;2,4;3,2;3,3;3,4",533.222412109375,206.38218688964844,1041.42626953125,539.3375244140625,0.20077073838975695,0.4984264373779297,0.48424232006073,377.4575345394935,0.34207679864816204,14.823564743651342,-0.833743935459656,3.9907871124898464,0.42172900704671845,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",388.8686218261719,165.3137664794922,908.70361328125,521.2542724609375
013,rgb1_013.png,rgb2_013.png,True,0.1541317579481337,0.681388258934021,0.481967955827713,390.74722284232126,0.34227975710650627,10.356456537701803,-1.6093634820922802,1.6733245686656537,0.41645704094428254,"1,2;1,3;1,4;2,2;2,3;2,4;3,2;3,3;3,4",632.363525390625,194.23765563964844,1087.42578125,506.3879699707031,0.17624706692165798,0.5759857296943665,0.44408565759658813,377.85373982508975,0.34514804541858746,9.044831309459619,-1.8226820194848008,1.5290940324057418,0.38389342034070206,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",487.43145751953125,157.33880615234375,988.0765991210938,481.7787780761719
014,rgb1_014.png,rgb2_014.png,True,0.20679638332790798,0.5230273008346558,0.4701160490512848,399.33446690960994,0.33316648576846725,12.242540772027775,-3.319206210606449,5.747429537428024,0.31456751231635416,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",402.4439697265625,155.99839782714844,937.72998046875,512.0390014648438,0.20348110622829862,0.4006139636039734,0.43453145027160645,364.3045685709447,0.3567939030539641,10.781841240968163,-3.6266340221815794,4.553273966040577,0.4066008206631987,"0,2;1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",276.5929870605469,114.28840637207031,786.3903198242188,482.1369323730469
015,rgb1_015.png,rgb2_015.png,True,0.1329092322455512,0.5158557295799255,0.4661867916584015,403.27063444907105,0.39334313037526636,11.07818418060815,1.267284047686313,10.16352849886781,0.26724884060014,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",444.27618408203125,195.80804443359375,880.3930053710938,476.67120361328125,0.13012530856662327,0.4170345664024353,0.4336989223957062,394.40766693110993,0.4121073645189001,9.42845760307096,0.9672050339662611,9.004201389732764,0.3224362231005662,"1,1;1,2;2,1;2,2;3,1;3,2",334.2491760253906,167.87648010253906,751.3344116210938,455.40399169921875
016,rgb1_016.png,rgb2_016.png,True,0.09765406290690104,0.504662811756134,0.46611836552619934,397.0963865149981,0.46369442693414575,10.640238280846544,3.6539698619226204,13.053429027173978,0.21272418500053994,"1,1;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3",466.3960266113281,216.63572692871094,835.2495727539062,460.6295471191406,0.09307571411132813,0.42522287368774414,0.4362640678882599,397.7879895290045,0.477860612681436,8.971613567228479,3.4174975170315207,12.149167158498818,0.26488856203280586,"1,1;1,2;2,1;2,2;3,2",374.883544921875,198.3275146484375,729.6300048828125,440.1300048828125
017,rgb1_017.png,rgb2_017.png,True,0.06090208689371745,0.5129321813583374,0.5095625519752502,345.3660067256928,0.5894507590617488,4.900480426726486,3.953233195069513,9.195162771948993,0.1845999330648074,"1,2;1,3;2,2;2,3;3,2;3,3",512.454345703125,270.2690734863281,803.0484619140625,463.416015625,0.05955031500922309,0.4563632905483246,0.4803444743156433,381.6501226759911,0.59463542347044,3.1542922106788076,3.679590721725882,8.822988037223784,0.18973227143431073,"1,1;1,2;2,1;2,2;3,2",444.8529052734375,251.5994110107422,731.3287353515625,443.1742858886719
018,rgb1_018.png,rgb2_018.png,True,0.12004643758138021,0.584762692451477,0.4276014566421509,345.3703213797675,0.5693391091268335,10.098568492289845,37.35870541594492,15.94717768599706,0.2557557845439664,"1,2;1,3;2,2;2,3;3,3",578.8483276367188,148.04322814941406,920.525390625,471.8425598144531,0.12172403123643663,0.5242363214492798,0.39832669496536255,366.57469756249327,0.5630485317952092,9.16421087049264,37.08672644093619,14.267024232148806,0.24069001089858877,"0,2;1,1;1,2;1,3;2,2;2,3;3,2",504.6658630371094,127.37605285644531,849.2083740234375,452.9697570800781
019,rgb1_019.png,rgb2_019.png,True,0.1141927252875434,0.5221691727638245,0.47000953555107117,342.4359204915176,0.5624213724775678,9.45844486554772,-25.794279470217734,-0.5604818521792658,0.20138759850078158,"1,2;1,3;2,1;2,2;2,3;3,2",493.2891845703125,188.5674591064453,844.643310546875,488.0943603515625,0.11435166252983942,0.45972681045532227,0.4405856132507324,366.7939594944318,0.5716670383632507,7.4097950550107425,-26.05891156789501,-0.37930738190334484,0.2018329565526257,"1,1;1,2;2,1;2,2;3,1;3,2",419.6946716308594,164.12030029296875,767.7669677734375,466.89215087890625
020,rgb1_020.png,rgb2_020.png,True,0.19390784369574654,0.5454372763633728,0.4883148670196533,374.1138304734866,0.4471720952881741,14.968673731364149,-29.61073525537243,-2.3675709178796036,0.4596833271119647,"1,2;1,3;2,1;2,2;2,3;3,2;3,3",476.2417907714844,149.5652618408203,925.3275756835938,547.4969482421875,0.19372957017686632,0.45592278242111206,0.4534030854701996,383.5520450858116,0.459907892948769,13.039667366658186,-30.090953833601723,-1.3375779228073943,0.4627121326516735,"0,2;1,1;1,2;2,1;2,2;2,3;3,1;3,2",375.30908203125,118.31600952148438,816.7422485351562,522.7739868164062
021,rgb1_021.png,rgb2_021.png,True,0.16489334106445314,0.5471775531768799,0.4747768044471741,375.36729205658406,0.46696337497316165,9.317888723355516,25.945329985944316,7.820755532256147,0.223279039213091,"1,2;1,3;2,1;2,2;2,3;3,2;3,3",490.4230041503906,164.61363220214844,912.2511596679688,524.86865234375,0.16366463555230035,0.46786537766456604,0.4446972608566284,402.919115955766,0.4700242904256412,8.24233204398665,25.7004295537885,6.806777979204377,0.2494894478777944,"1,1;1,2;1,3;2,1;2,2;2,3;3,2",398.7378845214844,146.4832305908203,817.1524658203125,506.9709777832031
022,rgb1_022.png,rgb2_022.png,True,0.16254586113823785,0.34796082973480225,0.46277379989624023,396.980248829778,0.4697325512709346,3.5008996232583103,25.57109703402578,8.29551191777801,0.3533226636210533,"1,1;1,2;2,0;2,1;2,2;3,1;3,2",251.4878387451172,158.0033721923828,663.8756713867188,521.2591552734375,0.13658973693847656,0.2753850817680359,0.43449148535728455,398.06915688958696,0.49715793486154014,2.321845413494843,25.56163868687343,6.357006333858623,0.33107606773778736,"1,0;1,1;1,2;2,0;2,1;2,2;3,1",187.40994262695312,148.22862243652344,550.1500244140625,495.2569885253906
023,rgb1_023.png,rgb2_023.png,True,0.18886145697699652,0.7021355628967285,0.48087072372436523,385.4553130749173,0.4182596479591877,11.542472165993631,26.999834850551597,8.05286298624323,0.3530841060397296,"1,2;1,3;1,4;2,2;2,3;2,4;3,3;3,4",669.7040405273438,145.50975036621094,1104.7633056640625,545.5810546875,0.21559351603190105,0.618291974067688,0.44420894980430603,394.9904436122564,0.40709369530555406,10.33755896807186,26.501890017145367,6.1430718662620585,0.2189662947365765,"0,2;1,2;1,3;2,2;2,3;2,4;3,2;3,3",549.6033325195312,117.17733001708984,1029.8948974609375,530.8656005859375
024,rgb1_024.png,rgb2_024.png,True,0.09041822645399306,0.33356496691703796,0.7182810306549072,304.9023462324308,0.6296502332266246,1.1335135794200375,36.21330138821493,5.7018961708554645,0.19137355194477873,"2,1;3,1;3,2;4,1;4,2",285.74749755859375,373.00860595703125,580.6241455078125,655.5994262695312,0.08111853705512152,0.28855353593826294,0.6862668991088867,341.6862512609588,0.6487109059116248,0.32632865573012737,36.22821375041482,4.128611854099841,0.21281402259067952,"2,1;3,0;3,1;3,2;4,1",242.57205200195312,353.5290222167969,512.084716796875,630.914306640625
025,rgb1_025.png,rgb2_025.png,True,0.12222840203179254,0.5037386417388916,0.6217771768569946,349.5461900748253,0.5378367237837066,5.840475998299706,31.128030353914976,11.857133951656566,0.17367133620572023,"1,2;2,1;2,2;2,3;3,1;3,2;3,3;4,2",469.946044921875,286.6428527832031,826.1739501953125,602.8609008789062,0.11942498101128472,0.4409202039241791,0.5948141813278198,384.8343787940508,0.5420994925059899,4.971153107734453,31.02567935308042,10.06515468688071,0.20004034793355993,"1,1;2,1;2,2;3,1;3,2;4,2",398.8348083496094,268.3841857910156,745.7710571289062,585.6242065429688
026,rgb1_026.png,rgb2_026.png,True,0.13408844841851128,0.6690114736557007,0.6132717132568359,342.37315889815227,0.4877080680936304,13.002767219051085,25.658681114196686,9.958267356744548,0.20108808159473987,"1,2;2,2;2,3;2,4;3,2;3,3;4,3",664.5950317382812,273.3183898925781,1039.8009033203125,602.67333984375,0.14798663669162326,0.6025891304016113,0.584877073764801,401.4185606178837,0.47624534873675173,11.952015757499112,25.194822719147297,7.967540317638833,0.24364556667203596,"1,2;2,2;2,3;3,2;3,3;4,3",573.6273193359375,249.53089904785156,973.772705078125,590.3682250976562
027,rgb1_027.png,rgb2_027.png,True,0.1939459737141927,0.4159208834171295,0.49429258704185486,385.5452573052853,0.46448503719325873,6.657669495121933,-33.84190992922839,-2.6761313781062337,0.30127738897980216,"1,1;1,2;2,1;2,2;3,1;3,2",321.576416015625,150.4579315185547,760.2557983398438,557.9095458984375,0.1734580824110243,0.3357619643211365,0.4643787741661072,391.698197531042,0.49127695225769297,4.658186438706646,-33.94937059839034,-2.5703605636268043,0.2909586960896305,"0,2;1,1;1,2;2,0;2,1;2,2;3,1",244.6882781982422,131.60345458984375,646.1903686523438,529.7557373046875
028,rgb1_028.png,rgb2_028.png,True,0.18047371758355035,0.33280184864997864,0.4785139262676239,370.4561886292622,0.4865562461428985,3.9174620140392933,-35.67666656469677,-1.9633608281014072,0.29295072534822864,"0,1;1,1;1,2;2,0;2,1;2,2;3,1",231.55194091796875,142.8585662841797,645.4578857421875,544.7000732421875,0.15276926676432293,0.2620313763618469,0.45054253935813904,384.95829977211656,0.5197282658088632,2.449707320934547,-35.641465645797396,-1.816569342814965,0.3407597394751853,"0,1;1,0;1,1;2,0;2,1;2,2;3,0;3,1",170.27728271484375,128.28887939453125,533.878662109375,515.5045776367188
029,rgb1_029.png,rgb2_029.png,True,0.1646580335828993,0.2797190546989441,0.4976429343223572,375.9378581712464,0.50372400221878,3.229849116326232,-33.199824283913046,1.8975259010772487,0.2749660053262416,"1,1;1,2;2,0;2,1;2,2;3,0;3,1",174.6837921142578,161.35769653320312,568.041748046875,547.1356811523438,0.1346271684434679,0.21637757122516632,0.47006955742836,384.27458057824475,0.543391047643402,2.809009533987978,-33.137440603435046,1.1116603905332545,0.8205896823060272,"1,0;1,1;2,0;2,1;3,0;3,1",124.08562469482422,149.39662170410156,461.702880859375,516.890869140625
030,rgb1_030.png,rgb2_030.png,True,0.25540134006076387,0.6049860715866089,0.5281919836997986,392.4305877667168,0.3818586213050124,14.394982104706074,-29.939136622491464,-5.882707444170914,0.24896108446577928,"1,2;1,3;2,2;2,3;2,4;3,2;3,3;4,2",516.3446044921875,148.64901733398438,1028.358154296875,608.3592529296875,0.2671616956922743,0.5024420022964478,0.4926872253417969,402.1684395566399,0.3928477639077853,12.279995691830912,-30.019038237943583,-5.869511066060504,0.31697306337065256,"0,2;1,2;1,3;2,1;2,2;2,3;3,1;3,2;4,2",395.48309326171875,112.97819519042969,918.5261840820312,583.7161254882812
031,rgb1_031.png,rgb2_031.png,True,0.24255299886067708,0.49585622549057007,0.5114137530326843,386.97045166568995,0.3997145806580805,7.8516729984675795,-30.26916605676606,-0.42087901575489833,0.22027221572716219,"0,2;1,2;1,3;2,1;2,2;2,3;3,1;3,2;3,3;4,2",385.75030517578125,143.39849853515625,887.8577880859375,588.595703125,0.23193788316514757,0.39875704050064087,0.47832539677619934,390.62910792430245,0.42174534672353525,5.977956277898728,-30.350165031639165,-0.35607844236527736,0.27714619156313697,"0,2;1,1;1,2;2,1;2,2;3,1;3,2",284.4952392578125,116.55156707763672,766.3291015625,560.1774291992188
032,rgb1_032.png,rgb2_032.png,True,0.06857515970865885,0.4832128882408142,0.3211601972579956,371.0020469759718,0.5556012866671718,9.890846810767195,1.3918474071011384,-1.8764820518824639,0.287265616657141,"0,1;0,2;0,3;1,1;1,2;1,3;2,1;2,2;2,3",457.1273193359375,135.3939971923828,779.7612915039062,331.2781066894531,0.06695799085828993,0.4188064932823181,0.29819798469543457,368.28295459208545,0.5684523106749869,7.277491064904361,1.6969580175991732,-2.984278917905085,0.38253690971149557,"0,1;0,2;1,1;1,2;2,1;2,2",380.94818115234375,116.873291015625,695.4324340820312,313.0945129394531
033,rgb1_033.png,rgb2_033.png,True,0.06877424875895183,0.34218448400497437,0.3441039025783539,387.8182090797412,0.5700792250265434,8.64354460468725,1.666490504890515,-0.1650093525871361,0.3060076344603644,"0,2;1,1;1,2;2,1;2,2",287.5543518066406,143.7174072265625,596.5936889648438,348.8121643066406,0.06143028683132595,0.28304556012153625,0.3217127323150635,380.86165136266527,0.597339004205575,7.15123657310389,1.45834448753386,-1.2372296813209083,0.31573078176487696,"0,1;1,0;1,1;2,0;2,1",229.4815673828125,125.47859191894531,508.6297302246094,328.28900146484375
034,rgb1_034.png,rgb2_034.png,True,0.07601754082573785,0.3222058415412903,0.5730943083763123,387.41594489945305,0.5416763895103814,8.566488674534348,1.3537941518033736,-3.478668010767911,0.28610427597428323,"2,1;2,2;3,1;3,2",262.2940673828125,306.4031066894531,577.3251953125,528.7867431640625,0.06563699934217665,0.26052457094192505,0.5432543158531189,399.0785884284962,0.5706619000501576,7.1159834874226275,1.205977979769486,-4.22602715576206,0.33260851327297236,"1,1;2,0;2,1;3,0;3,1",204.76162719726562,286.61114501953125,480.7759704589844,505.770263671875
035,rgb1_035.png,rgb2_035.png,True,0.09681146409776475,0.6282975077629089,0.6183814406394958,365.939211314843,0.4686851372521304,15.903814513892524,-3.1525735851440415,-13.28496489859209,0.3873654708559813,"2,2;2,3;3,2;3,3",622.57666015625,322.41192626953125,986.9506225585938,567.2742309570312,0.10309417724609375,0.5494744181632996,0.5866124629974365,395.5167055051403,0.46836134210446995,13.591948862470028,-3.54305499755622,-13.987465918454085,0.43501790196848517,"2,2;2,3;3,2;3,3",519.2078247070312,293.1719970703125,898.7703857421875,543.4906616210938
036,rgb1_036.png,rgb2_036.png,True,0.090220947265625,0.4573212265968323,0.4906820058822632,391.87828565673357,0.5119192584668061,10.335760281493425,-3.557675278051197,-5.972904843288829,0.255308129624297,"1,1;1,2;2,1;2,2;3,1;3,2",416.7730407714844,232.3780517578125,767.2825317382812,469.5973815917969,0.08483617146809896,0.384425550699234,0.4614933729171753,400.7714880168479,0.5287635454522269,8.743767951064426,-3.8530401736146898,-6.236007493911061,0.3168141441491579,"1,1;1,2;2,1;2,2;3,1;3,2",338.45281982421875,207.42018127441406,665.6672973632812,446.3613586425781
