index,lidar_rgb1_x_m,lidar_rgb1_y_m,lidar_rgb1_z_m,nearest_stereo_x_m,nearest_stereo_y_m,nearest_stereo_z_m,nearest_error_m
19,0.03855006568787776,0.021672828385376444,0.14584750016509168,0.05393772,0.01294134,0.40153263,0.2562965165844968
20,0.04443412589873966,0.022157731092987146,0.14897108075597743,0.05393772,0.01294134,0.40153263,0.2529082764999225
21,0.046985002186883756,0.022374855824697587,0.14956799361596793,0.05393772,0.01294134,0.40153263,0.2522370105554321
22,0.051082688876423976,0.022703759694609832,0.1527061834734637,0.05393772,0.01294134,0.40153263,0.24903424770909224
23,0.0590864491782926,0.023352563925284793,0.15813687044252472,0.05393772,0.01294134,0.40153263,0.243672728811277
24,0.0618263811978924,0.023588280823284007,0.1585039693465289,0.05393772,0.01294134,0.40153263,0.24338964280225575
25,0.06945372675232409,0.024206291184348507,0.16371002951665753,0.05393772,0.01294134,0.40153263,0.2385942893100827
26,0.07228441074697287,0.024448501364172953,0.16423333395503892,0.05393772,0.01294134,0.40153263,0.23828548366919092
27,0.07447729242569252,0.024645147224090988,0.16365112652456523,0.05393772,0.01294134,0.40153263,0.2390532635934976
28,0.07628010045536546,0.024819472144907987,0.16178490846371393,0.05393772,0.01294134,0.40153263,0.24107932713010619
29,0.0781023596189663,0.024990389084653605,0.16047828375329998,0.05393772,0.01294134,0.40153263,0.24256196576582828
30,0.07957148132737121,0.025134089852228276,0.15877749324966742,0.05393772,0.01294134,0.40153263,0.24440910230067192
31,0.04099737780610921,0.022328931104529222,0.09733592205836877,0.05393772,0.01294134,0.40153263,0.3046165071780696
32,0.07726227466185892,0.025201370871066782,0.12931716199909915,0.05393772,0.01294134,0.40153263,0.273487850234856
33,0.01617440988885285,0.020519605929535584,0.05825416268072195,0.05393772,0.01294134,0.40153263,0.34543248809300214
34,0.01673605384628957,0.02057371483528928,0.0576946872277876,0.05393772,0.01294134,0.40153263,0.3459288192678744
35,1.0959362271007265,0.10585980550783723,1.0307160951027976,0.60114914,0.09316735,1.17498755,0.5155478762312923
36,1.1060507027806332,0.10688743011891189,1.0148099094663001,0.60114914,0.09316735,1.17498755,0.5298780097567158
37,1.1170486963493538,0.10799427733657109,0.9986698673254095,0.60114914,0.09316735,1.17498755,0.5453990422062012
38,1.1300423431438475,0.10925441708277468,0.9848134298663528,0.60114914,0.09316735,1.17498755,0.5622748527434708
39,1.148594822483889,0.1109535257282463,0.9760050474776414,0.60114914,0.09316735,1.17498755,0.5827582342853233
